transaction_id,timestamp,customer_id,amount_aed,transaction_type,merchant_category,channel,city,country,device_id,high_amount_flag,is_fraud
T0001977,02-03-2025 00:15,C00566,904.41,TRANSFER_IN,Fuel,Web,Abu Dhabi,AE,DEV960384,0,0
T0001278,02-03-2025 00:57,C00875,61.86,BILL_PAYMENT,Grocery,Mobile,Abu Dhabi,AE,DEV182866,0,0
T0008645,02-03-2025 00:59,C00892,230.74,POS,Fuel,Web,Al Ain,AE,DEV858083,0,0
T0009161,02-03-2025 01:15,C00265,474.53,ATM,Entertainment,Web,Abu Dhabi,AE,DEV915041,0,0
T0005902,02-03-2025 01:33,C00253,147.3,POS,Healthcare,Mobile,Dubai,AE,DEV633872,0,1
T0003749,02-03-2025 01:42,C00063,64.44,ONLINE,Electronics,Mobile,Dubai,SA,DEV702586,0,0
T0006555,02-03-2025 02:21,C00423,349.88,ATM,Fuel,Branch,Ras Al Khaimah,US,DEV905636,0,0
T0009028,02-03-2025 02:34,C00967,493.49,POS,Education,Web,Abu Dhabi,AE,DEV850165,0,0
T0006405,02-03-2025 02:48,C00514,101.78,POS,Entertainment,Mobile,Abu Dhabi,AE,DEV887630,0,0
T0009433,02-03-2025 02:56,C00571,232.04,BILL_PAYMENT,Electronics,Web,Dubai,AE,DEV286541,0,0
T0009725,02-03-2025 03:05,C00945,744.13,TRANSFER_OUT,Fashion,Mobile,Dubai,SA,DEV648786,0,0
T0007529,02-03-2025 03:27,C00281,1247.23,ONLINE,Restaurants,Mobile,Fujairah,AE,DEV582499,0,0
T0002387,02-03-2025 03:46,C00915,119.04,POS,Entertainment,Mobile,Abu Dhabi,AE,DEV410061,0,0
T0009459,02-03-2025 03:47,C00912,260.93,TRANSFER_OUT,Utilities,Mobile,Abu Dhabi,AE,DEV766451,0,0
T0002941,02-03-2025 03:55,C00554,314.84,ATM,Grocery,Web,Sharjah,AE,DEV629523,0,0
T0009336,02-03-2025 04:40,C00631,1262.31,POS,Fashion,Mobile,Dubai,AE,DEV666848,0,0
T0009219,02-03-2025 05:19,C00153,846.09,TRANSFER_OUT,Fuel,Branch,Abu Dhabi,AE,DEV884549,0,0
T0002590,02-03-2025 05:25,C00589,166.97,TRANSFER_OUT,Healthcare,Mobile,Dubai,AE,DEV705988,0,0
T0007602,02-03-2025 05:26,C00912,187.24,ONLINE,Travel,Mobile,Dubai,US,DEV289951,0,0
T0006045,02-03-2025 05:29,C00268,679.96,TRANSFER_IN,Entertainment,Mobile,Abu Dhabi,US,DEV860851,0,0
T0007767,02-03-2025 06:43,C00936,768.39,BILL_PAYMENT,Electronics,ATM,Abu Dhabi,AE,DEV758507,0,0
T0003365,02-03-2025 07:03,C00571,154.65,ATM,Restaurants,Mobile,Dubai,AE,DEV297964,0,1
T0008596,02-03-2025 07:18,C00961,1017.78,ONLINE,Fuel,Mobile,Dubai,SA,DEV296446,0,0
T0004407,02-03-2025 07:35,C00640,100.8,POS,Healthcare,Web,Dubai,SA,DEV964169,0,0
T0003072,02-03-2025 07:39,C00871,290.08,POS,Restaurants,Mobile,Dubai,AE,DEV967709,0,0
T0000224,02-03-2025 07:49,C00540,81.05,POS,Education,ATM,Abu Dhabi,AE,DEV179257,0,0
T0005376,02-03-2025 07:53,C00189,464.14,ONLINE,Restaurants,Mobile,Dubai,IN,DEV615651,0,0
T0001885,02-03-2025 07:54,C00781,433.58,TRANSFER_OUT,Healthcare,Web,Sharjah,AE,DEV912367,0,0
T0004854,02-03-2025 08:02,C00614,161.34,ONLINE,Education,ATM,Dubai,AE,DEV288949,0,0
T0008023,02-03-2025 08:07,C00559,219.58,ATM,Travel,Web,Abu Dhabi,AE,DEV747719,0,0
T0008696,02-03-2025 08:44,C00357,171.38,TRANSFER_OUT,Education,Mobile,Ajman,AE,DEV364104,0,0
T0008687,02-03-2025 09:50,C00128,246.32,ATM,Grocery,Mobile,Fujairah,AE,DEV195878,0,0
T0008698,02-03-2025 10:56,C00449,1223.37,ONLINE,Travel,Web,Sharjah,AE,DEV789793,0,0
T0001701,02-03-2025 11:22,C00047,169.13,POS,Fashion,Mobile,Al Ain,OM,DEV105184,0,0
T0004908,02-03-2025 11:22,C00051,1012.94,BILL_PAYMENT,Entertainment,Web,Dubai,AE,DEV589888,0,0
T0007180,02-03-2025 11:32,C00440,207.52,ONLINE,Education,Mobile,Abu Dhabi,AE,DEV393448,0,0
T0007909,02-03-2025 12:18,C00872,149.9,ONLINE,Fuel,Mobile,Ajman,AE,DEV355380,0,0
T0004750,02-03-2025 13:08,C00466,188.71,ONLINE,Travel,Web,Dubai,AE,DEV471731,0,0
T0004207,02-03-2025 13:32,C00649,355.66,BILL_PAYMENT,Fashion,Web,Dubai,AE,DEV947042,0,0
T0002845,02-03-2025 13:50,C00089,292.07,BILL_PAYMENT,Utilities,POS,Abu Dhabi,OM,DEV391626,0,0
T0008053,02-03-2025 15:11,C00618,523.39,TRANSFER_IN,Entertainment,Mobile,Abu Dhabi,AE,DEV743846,0,0
T0001370,02-03-2025 15:49,C00919,371.63,ONLINE,Grocery,Web,Dubai,AE,DEV590993,0,0
T0009371,02-03-2025 17:15,C00905,462.83,POS,Healthcare,Web,Dubai,AE,DEV709795,0,0
T0004728,02-03-2025 18:15,C00973,642.43,BILL_PAYMENT,Utilities,Mobile,Ras Al Khaimah,AE,DEV979000,0,0
T0007319,02-03-2025 18:28,C00118,1329.94,POS,Grocery,Web,Abu Dhabi,UK,DEV665401,0,0
T0007462,02-03-2025 18:43,C00652,760.84,ONLINE,Education,Mobile,Abu Dhabi,AE,DEV337754,0,0
T0003695,02-03-2025 18:58,C00933,426.27,POS,Healthcare,Branch,Dubai,PH,DEV771675,0,0
T0004747,02-03-2025 19:53,C00851,176.43,ONLINE,Fuel,Mobile,Abu Dhabi,OM,DEV920662,0,0
T0002889,02-03-2025 20:28,C00487,101.92,BILL_PAYMENT,Utilities,POS,Dubai,AE,DEV385440,0,0
T0000477,02-03-2025 20:35,C00168,123.62,ONLINE,Education,Web,Fujairah,AE,DEV183521,0,0
T0000752,02-03-2025 20:58,C00899,374.81,BILL_PAYMENT,Travel,Web,Abu Dhabi,AE,DEV527356,0,0
T0009515,02-03-2025 21:36,C00379,139.2,ONLINE,Fashion,Web,Sharjah,AE,DEV984740,0,0
T0007565,02-03-2025 22:03,C00184,1087.06,BILL_PAYMENT,Restaurants,POS,Abu Dhabi,AE,DEV509201,0,0
T0009570,02-03-2025 22:17,C00957,139.28,POS,Electronics,Web,Abu Dhabi,AE,DEV856132,0,0
T0005379,02-03-2025 23:12,C00860,761.52,ATM,Healthcare,Mobile,Ras Al Khaimah,AE,DEV270250,0,0
T0002434,02-03-2025 23:15,C00826,515.19,POS,Fuel,Web,Ajman,AE,DEV653971,0,0
T0006305,02-03-2025 23:36,C00157,178.36,ONLINE,Restaurants,Web,Ras Al Khaimah,AE,DEV610978,0,0
T0004527,02-03-2025 23:41,C00651,1738.58,TRANSFER_OUT,Entertainment,Mobile,Dubai,AE,DEV590727,0,0
T0004049,03-03-2025 01:53,C00109,64.2,POS,Electronics,Mobile,Dubai,AE,DEV167606,0,0
T0005010,03-03-2025 02:41,C00040,254.16,ONLINE,Electronics,Web,Abu Dhabi,AE,DEV290487,0,0
T0002255,03-03-2025 02:49,C00836,63.58,BILL_PAYMENT,Restaurants,Mobile,Abu Dhabi,US,DEV835351,0,0
T0004899,03-03-2025 03:21,C00183,142.71,BILL_PAYMENT,Fashion,Mobile,Dubai,AE,DEV561760,0,0
T0006993,03-03-2025 03:42,C00204,132.89,POS,Electronics,Mobile,Ajman,AE,DEV994359,0,0
T0001471,03-03-2025 03:54,C00670,64.24,POS,Healthcare,Web,Ajman,AE,DEV111609,0,0
T0001923,03-03-2025 04:44,C00559,319.33,ONLINE,Entertainment,Web,Dubai,AE,DEV979129,0,0
T0005005,03-03-2025 06:12,C00591,1659.65,POS,Utilities,Mobile,Al Ain,AE,DEV566549,0,0
T0009082,03-03-2025 06:27,C00244,1004.27,POS,Education,Web,Abu Dhabi,AE,DEV258670,0,0
T0006085,03-03-2025 07:19,C00634,259.08,ONLINE,Electronics,Mobile,Dubai,AE,DEV567799,0,0
T0006126,03-03-2025 07:23,C00558,1333.05,POS,Entertainment,POS,Dubai,AE,DEV496533,0,0
T0003856,03-03-2025 07:23,C00804,3672.05,ATM,Fuel,Web,Dubai,PH,DEV244220,0,0
T0009589,03-03-2025 07:32,C00536,147.15,POS,Travel,Mobile,Sharjah,UK,DEV339606,0,0
T0002197,03-03-2025 07:35,C00985,76.7,POS,Electronics,Mobile,Dubai,AE,DEV394052,0,0
T0006712,03-03-2025 07:58,C00901,94.82,TRANSFER_OUT,Healthcare,POS,Dubai,AE,DEV381699,0,0
T0009173,03-03-2025 08:41,C00293,168.57,TRANSFER_OUT,Grocery,Web,Abu Dhabi,AE,DEV983347,0,0
T0004479,03-03-2025 09:01,C00463,278.86,ATM,Restaurants,Web,Sharjah,AE,DEV288601,0,0
T0003131,03-03-2025 09:20,C00017,45.26,ONLINE,Fashion,Mobile,Sharjah,AE,DEV514649,0,0
T0000675,03-03-2025 09:44,C00078,2901.6,ATM,Education,Mobile,Ajman,SA,DEV242736,0,0
T0005184,03-03-2025 09:58,C00699,346.22,POS,Fuel,Mobile,Abu Dhabi,SA,DEV492034,0,0
T0006264,03-03-2025 10:10,C00318,309.17,POS,Utilities,Web,Dubai,AE,DEV639540,0,0
T0000310,03-03-2025 10:20,C00324,77.93,POS,Healthcare,Branch,Ras Al Khaimah,US,DEV840103,0,0
T0000695,03-03-2025 10:54,C00865,149.35,ATM,Travel,POS,Ajman,AE,DEV766850,0,0
T0005631,03-03-2025 11:37,C00731,1037.86,POS,Electronics,Mobile,Abu Dhabi,AE,DEV216285,0,0
T0001465,03-03-2025 12:13,C00487,669.25,ATM,Entertainment,POS,Dubai,AE,DEV250081,0,1
T0000656,03-03-2025 12:19,C00219,231.44,TRANSFER_OUT,Grocery,Web,Sharjah,SA,DEV439684,0,0
T0000384,03-03-2025 13:06,C00869,50.93,ONLINE,Restaurants,Mobile,Dubai,AE,DEV747809,0,0
T0003336,03-03-2025 13:08,C00035,207.54,POS,Travel,Web,Abu Dhabi,AE,DEV655768,0,0
T0003621,03-03-2025 13:42,C00935,82.19,POS,Restaurants,Mobile,Umm Al Quwain,AE,DEV840533,0,0
T0004257,03-03-2025 14:18,C00629,772.17,TRANSFER_OUT,Fashion,Web,Dubai,AE,DEV934181,0,0
T0001685,03-03-2025 14:19,C00323,227.43,POS,Travel,Web,Dubai,AE,DEV234528,0,0
T0000523,03-03-2025 14:47,C00478,714.87,POS,Electronics,Mobile,Abu Dhabi,QA,DEV547099,0,0
T0004276,03-03-2025 15:18,C00739,154.89,ATM,Grocery,Web,Sharjah,AE,DEV188225,0,0
T0002411,03-03-2025 15:29,C00239,516.93,POS,Utilities,Web,Abu Dhabi,AE,DEV632259,0,0
T0008397,03-03-2025 15:42,C00087,232.92,TRANSFER_OUT,Travel,Web,Dubai,AE,DEV390074,0,1
T0005216,03-03-2025 16:33,C00307,39.21,ATM,Education,Web,Sharjah,AE,DEV586415,0,0
T0005591,03-03-2025 17:00,C00863,264.74,POS,Electronics,Mobile,Fujairah,AE,DEV965236,0,0
T0001536,03-03-2025 17:21,C00374,126.53,TRANSFER_OUT,Grocery,Mobile,Dubai,AE,DEV922574,0,0
T0004690,03-03-2025 17:23,C00428,67.58,ONLINE,Fashion,Branch,Abu Dhabi,UK,DEV703580,0,0
T0001154,03-03-2025 17:32,C00355,71.62,POS,Restaurants,Web,Abu Dhabi,US,DEV133305,0,0
T0007550,03-03-2025 17:33,C00951,45.11,TRANSFER_OUT,Travel,Web,Dubai,AE,DEV302665,0,0
T0001359,03-03-2025 17:50,C00326,141.28,ONLINE,Fashion,Mobile,Umm Al Quwain,AE,DEV540750,0,0
T0000938,03-03-2025 17:56,C00014,281.93,ONLINE,Travel,Mobile,Ras Al Khaimah,AE,DEV424355,0,0
T0009157,03-03-2025 18:03,C00448,1617.13,TRANSFER_OUT,Entertainment,Mobile,Abu Dhabi,AE,DEV101333,0,0
T0005970,03-03-2025 18:29,C00562,256.16,POS,Healthcare,Web,Abu Dhabi,AE,DEV445918,0,0
T0004523,03-03-2025 18:38,C00767,49.62,POS,Travel,Mobile,Umm Al Quwain,AE,DEV726349,0,0
T0008371,03-03-2025 19:37,C00562,599.35,ATM,Travel,Mobile,Abu Dhabi,AE,DEV245595,0,0
T0008744,03-03-2025 20:54,C00318,300.99,ATM,Entertainment,Web,Dubai,AE,DEV689251,0,0
T0005512,03-03-2025 21:14,C00545,373.43,TRANSFER_OUT,Education,ATM,Abu Dhabi,OM,DEV989651,0,0
